Column,Data Type,Missing Values,Unique Values
row_id,int64,0,51290
order_id,object,0,25035
order_date,datetime64[ns],0,1430
ship_date,datetime64[ns],0,1464
order_year,int64,0,4
order_month,int32,0,12
order_month_name,object,0,12
order_quarter,object,0,4
order_year_month,object,0,48
order_week,int64,0,53
order_priority,object,0,4
customer_id,object,0,4873
customer_name,object,0,795
segment,object,0,3
product_id,object,0,10292
product_name,object,0,3788
category,object,0,3
sub_category,object,0,17
country,object,0,147
state,object,0,1094
city,object,0,3636
region,object,0,13
market,object,0,7
market_group,object,0,6
sales,int64,0,2246
quantity,int64,0,14
discount,float64,0,27
profit,float64,0,24575
shipping_cost,float64,0,16877
ship_mode,object,0,4
shipping_delay_days,int64,0,8
profit_margin,float64,1,29001
profit_status,object,0,3
discount_band,object,0,6
shipping_cost_ratio,float64,1,38486
order_size,category,0,4
