product_id,product_name,category,sub_category,sales,profit,quantity,orders,customers,profit_margin
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,42000.0,20159.9424,12.0,3,3,0.47999862857142855
OFF-AP-10004512,"Hoover Stove, Red",Office Supplies,Appliances,21148.0,10345.584,38.0,7,7,0.48919916777000194
TEC-PH-10004823,"Nokia Smart Phone, Full Size",Technology,Phones,17968.0,7453.875,29.0,9,9,0.4148416629563669
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,13981.0,6990.445,11.0,4,4,0.49999606608969316
FUR-CH-10002250,"Office Star Executive Leather Armchair, Black",Furniture,Chairs,12835.0,5403.4278,30.0,8,8,0.42099164783794313
TEC-PH-10000303,"Samsung Smart Phone, VoIP",Technology,Phones,16224.0,5153.22,30.0,5,5,0.3176294378698225
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,15750.0,5039.9712,9.0,2,2,0.3199981714285714
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,9893.0,4946.37,13.0,1,1,0.49998685939553217
OFF-AP-10002330,"Hamilton Beach Stove, Silver",Office Supplies,Appliances,16293.0,4844.22,34.0,6,6,0.2973190940894863
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,9450.0,4630.4755,5.0,1,1,0.4899974074074074
TEC-CAN-10001437,"Canon Wireless Fax, Laser",Technology,Copiers,9618.0,4596.324,26.0,6,6,0.4778877105427323
TEC-PH-10003457,"Cisco Smart Phone, Full Size",Technology,Phones,13749.0,4560.032,32.0,8,8,0.33166281184086116
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,8970.0,4215.853,10.0,5,5,0.46999476031215165
TEC-CO-10004997,"Hewlett Wireless Fax, Color",Technology,Copiers,8893.0,4129.179,24.0,7,7,0.464317890475655
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,8400.0,4031.9328,14.0,2,2,0.47999200000000003
TEC-AC-10001056,"Belkin Router, USB",Technology,Accessories,8288.0,3894.72,32.0,7,7,0.4699227799227799
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7700.0,3772.9461,11.0,2,2,0.489993
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14300.0,3717.9714000000004,11.0,2,2,0.259998
TEC-PH-10002623,"Cisco Smart Phone, with Caller ID",Technology,Phones,12103.0,3676.4700000000003,23.0,6,6,0.30376518218623483
FUR-SAU-10004653,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,8720.0,3574.8,20.0,8,8,0.409954128440367
TEC-APP-10002966,"Apple Smart Phone, Full Size",Technology,Phones,12751.0,3570.0,20.0,6,6,0.27997804093796563
FUR-BO-10004852,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,9592.0,3548.82,22.0,4,4,0.3699770642201835
