product_id,product_name,category,sub_category,sales,profit,profit_margin,orders
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.0,-1811.08,-0.08,1
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.0,0.0,0.0,8
FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,21329.0,1363.23,0.0639,12
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,19824.0,2233.51,0.1127,11
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,19026.0,760.98,0.04,9
TEC-PH-10001457,"Apple Smart Phone, Full Size",Technology,Phones,18718.0,1695.3,0.0906,8
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.0,-1878.17,-0.1045,6
FUR-BO-10004679,"Safco Library with Doors, Pine",Furniture,Bookcases,17433.0,375.23,0.0215,8
FUR-CH-10002247,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,17122.0,1855.69,0.1084,11
FUR-BO-10001934,"Bush Library with Doors, Metal",Furniture,Bookcases,17093.0,-309.34,-0.0181,14
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17031.0,-262.0,-0.0154,3
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16830.0,-4589.97,-0.2727,4
FUR-CH-10002213,"Hon Executive Leather Armchair, Black",Furniture,Chairs,16702.0,-1811.35,-0.1085,12
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.0,-1299.18,-0.078,6
TEC-PH-10004196,"Samsung Smart Phone, Cordless",Technology,Phones,16274.0,-1951.08,-0.1199,10
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15611.0,-669.54,-0.0429,5
FUR-CH-10000602,"Novimex Executive Leather Armchair, Red",Furniture,Chairs,15560.0,-345.8,-0.0222,8
FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,15455.0,-981.07,-0.0635,10
TEC-PH-10002815,"Samsung Smart Phone, VoIP",Technology,Phones,15101.0,1077.34,0.0713,8
FUR-CH-10002573,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,14416.0,1292.7,0.0897,12
