order_year_month,sales,profit,running_sales,running_profit
2011-01,98902.0,8321.8,98902.0,8321.8
2011-02,91152.0,12417.91,190054.0,20739.71
2011-03,145726.0,15303.57,335780.0,36043.28
2011-04,116927.0,12902.32,452707.0,48945.6
2011-05,146762.0,12183.83,599469.0,61129.43
2011-06,215214.0,23415.25,814683.0,84544.68
2011-07,115518.0,5585.0,930201.0,90129.68
2011-08,207570.0,23713.67,1137771.0,113843.35
2011-09,290230.0,35776.88,1428001.0,149620.23
2011-10,199070.0,25963.42,1627071.0,175583.65
2011-11,298499.0,32709.18,1925570.0,208292.83
2011-12,333941.0,40647.98,2259511.0,248940.81
2012-01,135775.0,10401.64,2395286.0,259342.45
2012-02,100521.0,15000.1,2495807.0,274342.55
2012-03,163092.0,17992.92,2658899.0,292335.47
2012-04,161060.0,17366.97,2819959.0,309702.44
2012-05,208370.0,29876.7,3028329.0,339579.14
2012-06,256181.0,34407.15,3284510.0,373986.29
2012-07,145247.0,15585.39,3429757.0,389571.68
2012-08,303158.0,43573.88,3732915.0,433145.56
2012-09,289390.0,27776.18,4022305.0,460921.74
2012-10,252942.0,30662.88,4275247.0,491584.62
2012-11,323512.0,31820.72,4598759.0,523405.34
2012-12,338245.0,32950.75,4937004.0,556356.09
2013-01,199197.0,26810.56,5136201.0,583166.65
2013-02,167247.0,23762.5,5303448.0,606929.15
2013-03,198591.0,23433.77,5502039.0,630362.92
2013-04,177835.0,19462.04,5679874.0,649824.96
2013-05,260525.0,28495.69,5940399.0,678320.65
2013-06,396513.0,45478.41,6336912.0,723799.06
2013-07,229940.0,28863.83,6566852.0,752662.89
2013-08,326491.0,31023.67,6893343.0,783686.56
2013-09,376626.0,38905.67,7269969.0,822592.23
2013-10,293423.0,42433.22,7563392.0,865025.45
2013-11,373996.0,48063.0,7937388.0,913088.45
2013-12,405476.0,50202.87,8342864.0,963291.32
2014-01,241267.0,28001.39,8584131.0,991292.71
2014-02,184848.0,19751.7,8768979.0,1011044.41
2014-03,263110.0,37357.26,9032089.0,1048401.67
2014-04,242781.0,23782.3,9274870.0,1072183.97
2014-05,288404.0,33953.56,9563274.0,1106137.53
2014-06,401843.0,43778.6,9965117.0,1149916.13
2014-07,258718.0,28035.87,10223835.0,1177952.0
2014-08,456633.0,53542.89,10680468.0,1231494.89
2014-09,481186.0,67979.45,11161654.0,1299474.34
2014-10,422785.0,58209.83,11584439.0,1357684.17
2014-11,555312.0,62856.59,12139751.0,1420540.76
2014-12,503154.0,46916.52,12642905.0,1467457.28
