product_id,product_name,category,sub_category,profit,product_rank,total_profitable_products,cumulative_profit,cumulative_profit_share,product_share
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,25199.93,1,7691,25199.93,0.0124,0.0001
OFF-AP-10004512,"Hoover Stove, Red",Office Supplies,Appliances,10345.58,2,7691,35545.51,0.0175,0.0003
TEC-PH-10004823,"Nokia Smart Phone, Full Size",Technology,Phones,8121.48,3,7691,43666.99,0.0216,0.0004
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,7753.04,4,7691,51420.03,0.0254,0.0005
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,6983.88,5,7691,58403.91,0.0288,0.0007
FUR-CH-10002250,"Office Star Executive Leather Armchair, Black",Furniture,Chairs,6123.26,6,7691,64527.17,0.0318,0.0008
TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",Technology,Phones,5455.95,7,7691,69983.12,0.0345,0.0009
OFF-AP-10002330,"Hamilton Beach Stove, Silver",Office Supplies,Appliances,5452.46,8,7691,75435.58,0.0372,0.001
TEC-PH-10000303,"Samsung Smart Phone, VoIP",Technology,Phones,5356.81,9,7691,80792.39,0.0399,0.0012
FUR-CH-10002203,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,5003.1,10,7691,85795.49,0.0423,0.0013
TEC-PH-10000169,"Apple Smart Phone, with Caller ID",Technology,Phones,4954.15,11,7691,90749.64,0.0448,0.0014
FUR-BO-10004852,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,4861.07,12,7691,95610.71,0.0472,0.0016
TEC-CO-10004997,"Hewlett Wireless Fax, Color",Technology,Copiers,4854.26,13,7691,100464.97,0.0496,0.0017
FUR-BO-10004999,"Safco Classic Bookcase, Metal",Furniture,Bookcases,4681.86,14,7691,105146.83,0.0519,0.0018
FUR-BO-10001471,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,4650.45,15,7691,109797.28,0.0542,0.002
TEC-CAN-10001437,"Canon Wireless Fax, Laser",Technology,Copiers,4596.32,16,7691,114393.6,0.0565,0.0021
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,4570.93,17,7691,118964.54,0.0587,0.0022
TEC-PH-10003457,"Cisco Smart Phone, Full Size",Technology,Phones,4507.82,18,7691,123472.35,0.0609,0.0023
TEC-PH-10001751,"Samsung Smart Phone, Cordless",Technology,Phones,4338.81,19,7691,127811.16,0.0631,0.0025
TEC-PH-10001670,"Motorola Smart Phone, Full Size",Technology,Phones,4237.33,20,7691,132048.49,0.0652,0.0026
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,4094.98,21,7691,136143.47,0.0672,0.0027
TEC-PH-10002623,"Cisco Smart Phone, with Caller ID",Technology,Phones,4055.9,22,7691,140199.37,0.0692,0.0029
FUR-BO-10001501,"Bush Classic Bookcase, Metal",Furniture,Bookcases,4042.77,23,7691,144242.14,0.0712,0.003
TEC-PH-10000780,"Cisco Smart Phone, with Caller ID",Technology,Phones,3938.36,24,7691,148180.49,0.0731,0.0031
FUR-BO-10002990,"Dania Library with Doors, Traditional",Furniture,Bookcases,3913.27,25,7691,152093.77,0.0751,0.0033
TEC-AC-10001056,"Belkin Router, USB",Technology,Accessories,3894.72,26,7691,155988.49,0.077,0.0034
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,3772.95,27,7691,159761.43,0.0788,0.0035
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,3717.97,28,7691,163479.4,0.0807,0.0036
TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,3696.28,29,7691,167175.68,0.0825,0.0038
